Nr.,club,competition,market_value
1,Manchester City,Premier League,1030.0
2,Liverpool FC,Premier League,912.5
3,Chelsea FC,Premier League,858.45
4,Bayern Munich,Bundesliga,813.7
5,Paris Saint-Germain,Ligue 1,790.8
6,FC Barcelona,La Liga,780.5
7,Manchester United,Premier League,736.55
8,Real Madrid,La Liga,706.5
9,Atlético de Madrid,La Liga,701.5
10,Tottenham Hotspur,Premier League,648.9
11,Inter Milan,Serie A,648.9
12,Borussia Dortmund,Bundesliga,624.3
13,Juventus FC,Serie A, 600.6
14,RB Leipzig,Bundesliga,560.95
15,Arsenal FC,Premier League,540.8
16,SSC Napoli,Serie A,523.2
17,AC Milan,Serie A,503.5
18,Leicester City,Premier League,496.5
19,Everton FC,Premier League,463.1
20,Wolverhampton Wanderers,Premier League,391.0
21,Aston Villa,Premier League,389.3
22,Atalanta BC,Serie A,388.9
23,AS Roma,Serie A,372.1
24,Bayer 04 Leverkusen,Bundesliga,370.7
25,Sevilla FC,La Liga,365.4
